Angle,File,Max_deg,Min_deg,Range_deg,SD_deg,Mean_deg,Max_velocity_deg_s,Min_velocity_deg_s,Max_acceleration_deg_s2,Min_acceleration_deg_s2
Elbow flexion-extension descriptor,P03_support.csv,"101,20034626554026","-100,66931446016473","201,869660725705","59,966894280487146","-0,5088244037384865","1859,175659063244","-1269,165384712471","26013,49839671089","-26401,738708654208"
Elbow flexion-extension descriptor,P04_support.csv,"142,49302423410566","-175,2467949675437","317,73981920164937","103,56452828083656","-14,830166605844692","3230,303897881099","-3545,3003143850237","56052,43143598047","-87403,14593255968"
Elbow flexion-extension descriptor,P05_support.csv,"83,49271029727426","-83,00588798169309","166,49859827896734","40,712137457697054","-3,666564964045825","1427,8493686242034","-1157,8486225652725","23695,983886940332","-21075,89312509155"
Elbow flexion-extension descriptor,P06_support.csv,"92,28866301700128","-93,94206137953715","186,23072439653845","50,468499541750596","-5,444101525794975","1681,5158242192783","-1121,899781518976","23307,0105977591","-23413,094439669774"
Elbow flexion-extension descriptor,P07_support.csv,"65,0669849808645","-78,49725688929699","143,56424187016148","43,68576330640668","7,028874983093695","1193,1451050511869","-585,1636655771891","16156,519118132364","-18779,354520030407"
Elbow flexion-extension descriptor,P08_support.csv,"96,75592710915706","-99,06085386494458","195,81678097410162","51,86586131642012","7,101778613789361","1768,4208889674615","-699,9756025823062","24548,66918742616","-26955,800729362396"
Shoulder flexion-extension descriptor,P01_support.csv,"212,02593589302447","-198,08522495744361","410,1111608504681","130,95688631576957","47,0000726667622","3746,555049990848","-6654,7646815989465","96335,29124777488","-90181,58863877281"
Shoulder flexion-extension descriptor,P02_support.csv,"197,51180328786177","-179,08515663473943","376,5969599226012","111,66654715256178","15,760946633252603","3521,820169483599","-3823,497250600661","94811,98534229462","-93478,70663605376"
Shoulder flexion-extension descriptor,P03_support.csv,"93,31466505979125","-87,30362419299199","180,61828925278326","52,56823885703326","3,380284123438827","1738,3633607158326","-1666,6424678124067","37490,63988302913","-30652,844041582735"
Shoulder flexion-extension descriptor,P04_support.csv,"108,3318569190951","-112,55821108612422","220,89006800521932","72,32608048428149","6,809071580322253","2087,569676022359","-771,0304575526343","30650,222491511562","-30115,529997499092"
Shoulder flexion-extension descriptor,P05_support.csv,"217,03134655443074","-206,8834379905127","423,9147845449435","123,59825293296112","22,9304509719085","3760,6454431501065","-6946,382433547005","91203,36722291294","-97342,51631096317"
Shoulder flexion-extension descriptor,P06_support.csv,"197,20040136463493","-187,99962671807253","385,2000280827075","121,48061986715996","41,2702002486257","3904,10343587961","-3851,983895335261","93767,40824878345","-90650,71674270616"
Shoulder flexion-extension descriptor,P07_support.csv,"190,93825158239846","-185,12468193805765","376,0629335204561","127,02213205723396","-8,614648954184192","3777,1366044037313","-3673,0693399293505","95162,6147264409","-77108,99039758221"
Shoulder flexion-extension descriptor,P08_support.csv,"123,27344505550987","-126,40641582766271","249,67986088317258","59,339606264092566","-2,6994387070031407","2401,6991011153514","-1334,6181277735125","36095,378544849445","-35742,452676887646"
Wrist flexion-extension descriptor,P01_support.csv,"116,71607690326864","-113,04918293051452","229,76525983378315","47,22486498561078","-8,672565641759725","2062,5590079943804","-1675,2053761395707","33589,15169330245","-27526,609413689148"
