Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
1.90000,0.24662,96.36724,-2.25290,2.11746,1.55503
1.91000,0.27741,96.35654,-2.24354,2.12412,1.54845
1.92000,0.30847,96.34303,-2.23529,2.13186,1.54143
1.93000,0.33962,96.32661,-2.22828,2.14007,1.53446
1.94000,0.37064,96.30711,-2.22250,2.14828,1.52793
1.95000,0.40136,96.28432,-2.21789,2.15624,1.52213
1.96000,0.43155,96.25814,-2.21423,2.16396,1.51717
1.97000,0.46101,96.22848,-2.21124,2.17172,1.51306
1.98000,0.48952,96.19538,-2.20857,2.17992,1.50972
1.99000,0.51689,96.15903,-2.20585,2.18897,1.50706
2.00000,0.54292,96.11977,-2.20273,2.19908,1.50505
2.01000,0.56741,96.07809,-2.19896,2.21005,1.50378
2.02000,0.59015,96.03461,-2.19434,2.22120,1.50346
2.03000,0.61090,95.99009,-2.18878,2.23133,1.50443
2.04000,0.62936,95.94536,-2.18223,2.23881,1.50702
2.05000,0.64521,95.90126,-2.17468,2.24182,1.51157
2.06000,0.65812,95.85861,-2.16610,2.23850,1.51826
2.07000,0.66780,95.81815,-2.15646,2.22728,1.52714
2.08000,0.67401,95.78044,-2.14572,2.20705,1.53807
2.09000,0.67661,95.74594,-2.13388,2.17731,1.55072
2.10000,0.67562,95.71489,-2.12099,2.13833,1.56462
2.11000,0.67117,95.68737,-2.10715,2.09115,1.57917
2.12000,0.66358,95.66328,-2.09258,2.03757,1.59369
2.13000,0.65330,95.64238,-2.07757,1.98008,1.60748
2.14000,0.64092,95.62431,-2.06251,1.92165,1.61975
2.15000,0.62712,95.60864,-2.04783,1.86550,1.62976
2.16000,0.61263,95.59487,-2.03405,1.81480,1.63674
2.17000,0.59818,95.58252,-2.02165,1.77232,1.63997
2.18000,0.58445,95.57110,-2.01112,1.74015,1.63887
2.19000,0.57199,95.56021,-2.00283,1.71943,1.63301
2.20000,0.56121,95.54951,-1.99702,1.71023,1.62222
2.21000,0.55235,95.53879,-1.99369,1.71160,1.60663
2.22000,0.54545,95.52794,-1.99257,1.72169,1.58671
2.23000,0.54041,95.51694,-1.99312,1.73807,1.56323
2.24000,0.53696,95.50588,-1.99455,1.75801,1.53726
2.25000,0.53474,95.49487,-1.99589,1.77883,1.51002
2.26000,0.53335,95.48399,-1.99612,1.79818,1.48281
2.27000,0.53239,95.47334,-1.99432,1.81427,1.45686
2.28000,0.53151,95.46289,-1.98977,1.82597,1.43327
